criterion,lifecycle_step,name,category,avg_electricity_consumption,description,location,level,source,tier,unit,value
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", SLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", SLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005447424352
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", SLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", SLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,119
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", SLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", SLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,26.5
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", SLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", SLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.0000587365412
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", SLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", SLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,237
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", SLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", SLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,30.4
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", SLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", SLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005125153064
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", SLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", SLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,23.6
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", SLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", SLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,30.8
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", TLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", TLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005156340608
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", TLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", TLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,24
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", TLC, 1024 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", TLC, 1024 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,41.4
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", TLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", TLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005312278328
WATER_USE,END_OF_LIFE,"Solid State Drive (SSD)/ 2,5"", TLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", TLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,23.3
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", TLC, 2048 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", TLC, 2048 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,81.8
WATER_USE,TRANSPORTATION,"Solid State Drive (SSD)/ 2,5"", TLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", TLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,0.00005052382128
WATER_USE,MANUFACTURING,"Solid State Drive (SSD)/ 2,5"", TLC, 256 Go / production mix, at plant/ CN",,"","Solid State Drive (SSD)/ 2,5"", TLC, 256 Go / production mix, at plant/ CN",,1-Digital component,NegaOctet-20220211,,Item,11.3
